id,name,road,startLat,startLng,endLat,endLng,lengthM,widthM,heightM,lanes,diff
t267,화촌3터널(양양),서울양양고속국도,37.759536,127.982671,37.759536,127.982671,527,11.5,7.3,2,2
t268,화촌3터널(서울),서울양양고속국도,37.759536,127.982671,37.759536,127.982671,407,11.5,7.3,2,1
t269,화촌5터널(서울),서울양양고속국도,37.757651,128.015458,37.757651,128.015458,125,11.5,7.1,2,1
t270,화촌5터널(양양),서울양양고속국도,37.757651,128.015458,37.757651,128.015458,125,11.5,7.1,2,1
t271,화촌6터널(양양),서울양양고속국도,37.757201,128.026789,37.757201,128.026789,629.2,11.4,7.3,2,3
t272,화촌6터널(서울),서울양양고속국도,37.757201,128.026789,37.757201,128.026789,599.2,11.4,7.3,2,2
t273,화촌8터널(양양),서울양양고속국도,37.754828,128.060299,37.754828,128.060299,978,12.5,7.3,2,4
t274,화촌8터널(서울),서울양양고속국도,37.754828,128.060299,37.754828,128.060299,963,12.5,7.3,2,4
t275,화촌9터널(서울),서울양양고속국도,37.770723,128.087508,37.770723,128.087508,3690,12.5,7.3,2,5
t276,화촌9터널(양양),서울양양고속국도,37.770723,128.087508,37.770723,128.087508,3705,12.5,7.3,2,5
t277,내촌1터널(양양),서울양양고속국도,37.782473,128.104716,37.782473,128.104716,1248,12.6,7.3,2,4
t278,내촌1터널(서울),서울양양고속국도,37.782473,128.104716,37.782473,128.104716,1267,12.6,7.3,2,4
t279,내촌2터널(서울),서울양양고속국도,37.788199,128.125737,37.788199,128.125737,100,11.2,8.5,2,1
t280,내촌2터널(양양),서울양양고속국도,37.788199,128.125737,37.788199,128.125737,100,11.2,8.5,2,1
t281,근덕터널(삼척),동해고속국도,37.408791,129.191957,37.408791,129.191957,2558,12.7,7.2,2,5
t282,근덕터널(속초),동해고속국도,37.408791,129.191957,37.408791,129.191957,2473,12.7,7.2,2,5
t283,적노터널(속초),동해고속국도,37.416511,129.171916,37.416511,129.171916,542,10.7,7.3,2,2
t284,적노터널(삼척),동해고속국도,37.416511,129.171916,37.416511,129.171916,487,10.7,7.3,2,2
t285,사직터널(삼척),동해고속국도,37.422728,129.163857,37.422728,129.163857,302,10.7,7.3,2,1
t286,사직터널(속초),동해고속국도,37.422728,129.163857,37.422728,129.163857,237,10.7,7.3,2,1
t287,남양터널(속초),동해고속국도,37.429813,129.156877,37.429813,129.156877,327,10.7,7.3,2,1
t288,남양터널(삼척),동해고속국도,37.429813,129.156877,37.429813,129.156877,380,10.7,7.3,2,1
t289,지가터널(삼척),동해고속국도,37.469753,129.099225,37.469753,129.099225,490,11.6,7.3,2,2
t290,지가터널(속초),동해고속국도,37.469753,129.099225,37.469753,129.099225,508,11.6,7.3,2,2
t291,귀운터널(삼척),동해고속국도,37.477641,129.09378,37.477641,129.09378,290,11.6,7.3,2,1
t292,귀운터널(속초),동해고속국도,37.477641,129.09378,37.477641,129.09378,305,11.6,7.3,2,1
t293,동해터널(삼척),동해고속국도,37.530766,129.095547,37.530766,129.095547,300,12.6,5.5,2,3
t294,동해터널(속초),동해고속국도,37.530766,129.095547,37.530766,129.095547,300,12.6,5.5,2,3
t295,강릉1터널(삼척),동해고속국도,37.641117,129.015811,37.641117,129.015811,535,11.2,7.3,2,2
t296,강릉1터널(속초),동해고속국도,37.641117,129.015811,37.641117,129.015811,450,13.8,8.3,3,1
t297,강릉2터널(삼척),동해고속국도,37.675634,129.005689,37.675634,129.005689,210,11.8,7.5,2,1
t298,강릉2터널(속초),동해고속국도,37.675634,129.005689,37.675634,129.005689,210,11.8,7.5,2,1
